Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,1,5737,5569,5905
1950,2,5824,5662,5991
1950,3,5701,5538,5869
1950,4,6012,5837,6179
1950,5,6268,6090,6446
1950,6,6194,6006,6378
1950,7,5975,5794,6146
1950,8,5787,5618,5960
1950,9,5647,5477,5823
1950,10,5583,5413,5751
1950,11,5694,5523,5862
1950,12,5987,5819,6158
1951,1,5752,5596,5915
1951,2,5742,5577,5903
1951,3,5915,5746,6081
1951,4,6506,6330,6678
1951,5,6660,6479,6842
1951,6,6589,6414,6770
1951,7,6391,6217,6575
1951,8,6175,6009,6342
1951,9,6078,5912,6244
1951,10,5943,5775,6107
1951,11,6115,5942,6282
1951,12,6262,6092,6436
1952,1,6497,6333,6662
1952,2,6546,6388,6707
1952,3,6750,6590,6915
1952,4,7049,6883,7224
1952,5,7193,7015,7379
1952,6,6923,6745,7100
1952,7,6663,6496,6829
1952,8,6535,6369,6698
1952,9,6541,6379,6710
1952,10,6273,6116,6438
1952,11,6082,5920,6242
1952,12,6050,5880,6206
1953,1,6025,5862,6188
1953,2,6220,6061,6380
1953,3,6223,6065,6387
1953,4,6326,6162,6496
1953,5,6453,6278,6633
1953,6,6380,6202,6566
1953,7,6382,6216,6553
1953,8,6309,6139,6472
1953,9,6203,6037,6369
1953,10,5834,5680,5993
1953,11,5783,5618,5950
1953,12,6148,5985,6312
1954,1,5630,5464,5786
1954,2,5539,5379,5699
1954,3,5973,5815,6131
1954,4,6258,6094,6421
1954,5,6532,6363,6712
1954,6,6386,6220,6559
1954,7,6105,5939,6274
1954,8,6120,5963,6283
1954,9,6001,5840,6168
1954,10,6344,6179,6515
1954,11,6365,6202,6532
1954,12,6226,6057,6387
1955,1,6398,6235,6555
1955,2,6137,5977,6295
1955,3,6525,6361,6685
1955,4,6698,6530,6864
1955,5,6781,6613,6951
1955,6,6522,6360,6694
1955,7,6253,6084,6423
1955,8,6183,6022,6352
1955,9,5845,5683,6012
1955,10,5965,5795,6131
1955,11,6044,5880,6214
1955,12,5763,5603,5924
1956,1,5522,5372,5673
1956,2,5180,5023,5343
1956,3,5249,5091,5408
1956,4,5661,5489,5830
1956,5,6229,6051,6409
1956,6,6152,5969,6331
1956,7,6037,5871,6212
1956,8,6110,5940,6278
1956,9,6061,5896,6226
1956,10,5651,5494,5814
1956,11,5723,5566,5887
1956,12,5530,5371,5695
1957,1,5347,5186,5510
1957,2,5200,5041,5364
1957,3,5340,5179,5501
1957,4,5751,5586,5918
1957,5,5838,5663,6016
1957,6,5907,5723,6088
1957,7,6016,5833,6190
1957,8,5819,5661,5981
1957,9,5676,5513,5843
1957,10,5318,5162,5479
1957,11,5564,5395,5727
1957,12,5414,5250,5582
1958,1,5336,5175,5498
1958,2,5001,4846,5154
1958,3,4967,4811,5126
1958,4,5099,4932,5268
1958,5,5202,5028,5365
1958,6,5198,5018,5379
1958,7,5258,5089,5435
1958,8,5265,5100,5437
1958,9,5234,5073,5399
1958,10,5054,4890,5209
1958,11,5201,5039,5364
1958,12,5021,4860,5186
1959,1,4646,4484,4802
1959,2,4863,4705,5022
1959,3,5155,4993,5316
1959,4,5341,5167,5509
1959,5,5684,5509,5859
1959,6,5709,5544,5875
1959,7,5508,5344,5673
1959,8,5191,5030,5353
1959,9,5093,4928,5254
1959,10,5066,4903,5238
1959,11,5206,5039,5370
1959,12,5136,4974,5303
1960,1,5452,5292,5614
1960,2,5362,5201,5523
1960,3,5184,5027,5344
1960,4,5504,5337,5672
1960,5,5958,5783,6135
1960,6,6002,5819,6173
1960,7,5905,5736,6080
1960,8,5753,5594,5922
1960,9,5705,5546,5863
1960,10,5678,5526,5834
1960,11,5613,5456,5772
1960,12,5534,5378,5687
1961,1,5176,5019,5326
1961,2,5182,5020,5345
1961,3,5443,5283,5603
1961,4,5801,5630,5970
1961,5,6356,6184,6535
1961,6,6255,6081,6437
1961,7,6058,5889,6224
1961,8,5934,5773,6097
1961,9,5916,5754,6079
1961,10,5620,5465,5772
1961,11,5494,5336,5655
1961,12,5519,5362,5679
1962,1,5083,4919,5244
1962,2,4984,4827,5144
1962,3,5226,5067,5386
1962,4,5437,5271,5603
1962,5,5656,5489,5832
1962,6,5411,5246,5586
1962,7,5384,5219,5549
1962,8,5347,5185,5514
1962,9,5250,5094,5406
1962,10,5189,5031,5348
1962,11,5024,4863,5188
1962,12,5284,5119,5444
1963,1,4839,4690,4992
1963,2,4596,4445,4744
1963,3,4847,4684,5002
1963,4,5078,4906,5241
1963,5,5444,5280,5614
1963,6,5494,5327,5656
1963,7,5201,5032,5362
1963,8,5092,4922,5252
1963,9,4764,4604,4920
1963,10,4636,4480,4791
1963,11,4781,4629,4942
1963,12,4846,4684,5007
1964,1,4041,3880,4201
1964,2,4035,3878,4195
1964,3,4737,4571,4898
1964,4,5068,4901,5239
1964,5,5344,5176,5507
1964,6,5205,5038,5379
1964,7,4980,4813,5147
1964,8,4940,4777,5107
1964,9,4729,4564,4889
1964,10,4659,4503,4811
1964,11,4554,4399,4713
1964,12,4435,4271,4597
1965,1,4547,4387,4707
1965,2,4642,4487,4808
1965,3,4949,4796,5109
1965,4,4971,4801,5136
1965,5,5255,5079,5422
1965,6,5389,5215,5564
1965,7,5175,5014,5340
1965,8,5069,4908,5229
1965,9,4992,4827,5154
1965,10,5064,4897,5229
1965,11,5143,4983,5312
1965,12,5022,4858,5191
1966,1,5083,4924,5244
1966,2,5115,4958,5272
1966,3,5283,5116,5446
1966,4,5300,5134,5463
1966,5,5731,5558,5906
1966,6,5690,5524,5860
1966,7,5555,5383,5730
1966,8,5477,5315,5643
1966,9,5359,5194,5522
1966,10,5261,5102,5412
1966,11,5169,4998,5330
1966,12,5488,5326,5649
1967,1,5433,5268,5596
1967,2,5374,5210,5538
1967,3,5244,5086,5402
1967,4,5722,5551,5893
1967,5,5905,5726,6078
1967,6,5721,5549,5892
1967,7,5728,5566,5896
1967,8,5602,5439,5766
1967,9,5433,5268,5599
1967,10,5569,5398,5733
1967,11,5759,5593,5931
1967,12,5754,5582,5922
1968,1,5486,5327,5647
1968,2,6072,5914,6230
1968,3,5810,5658,5970
1968,4,5980,5818,6152
1968,5,6045,5871,6222
1968,6,6158,5978,6330
1968,7,6144,5976,6316
1968,8,5967,5806,6135
1968,9,5978,5819,6137
1968,10,5743,5584,5911
1968,11,5731,5563,5895
1968,12,5978,5813,6143
1969,1,5727,5565,5888
1969,2,5903,5745,6064
1969,3,5925,5768,6082
1969,4,6045,5880,6212
1969,5,6676,6500,6847
1969,6,6705,6527,6881
1969,7,6594,6422,6766
1969,8,6575,6408,6740
1969,9,6376,6216,6547
1969,10,6282,6128,6445
1969,11,6148,5979,6313
1969,12,6010,5851,6174
1970,1,5695,5536,5855
1970,2,5734,5577,5898
1970,3,5745,5585,5902
1970,4,5976,5804,6146
1970,5,6308,6127,6486
1970,6,6189,6010,6369
1970,7,6241,6072,6417
1970,8,6081,5917,6238
1970,9,6062,5901,6236
1970,10,5864,5699,6031
1970,11,6019,5846,6185
1970,12,6052,5891,6221
1971,1,6089,5933,6248
1971,2,5907,5745,6075
1971,3,6113,5952,6273
1971,4,6118,5948,6281
1971,5,6156,5980,6332
1971,6,6514,6335,6690
1971,7,6166,6001,6336
1971,8,6084,5916,6254
1971,9,6042,5873,6210
1971,10,6126,5968,6284
1971,11,5926,5758,6086
1971,12,6003,5842,6165
1972,1,6203,6048,6370
1972,2,5869,5711,6025
1972,3,6225,6064,6383
1972,4,6343,6172,6510
1972,5,6628,6455,6802
1972,6,6609,6427,6787
1972,7,6709,6532,6881
1972,8,6611,6447,6775
1972,9,6472,6302,6647
1972,10,6472,6302,6645
1972,11,6672,6501,6841
1972,12,6957,6788,7124
1973,1,6877,6718,7041
1973,2,6782,6620,6941
1973,3,7043,6881,7200
1973,4,7450,7277,7618
1973,5,7468,7293,7640
1973,6,7456,7278,7631
1973,7,7333,7157,7510
1973,8,7072,6909,7240
1973,9,6827,6660,6988
1973,10,6667,6506,6832
1973,11,6660,6494,6825
1973,12,6577,6411,6746
1974,1,6674,6511,6831
1974,2,6731,6566,6889
1974,3,7030,6873,7194
1974,4,7462,7292,7631
1974,5,7514,7343,7693
1974,6,7334,7154,7514
1974,7,7122,6950,7294
1974,8,6856,6698,7013
1974,9,6609,6448,6778
1974,10,6488,6332,6648
1974,11,6400,6235,6565
1974,12,6488,6325,6647
1975,1,6751,6591,6917
1975,2,6644,6480,6804
1975,3,6689,6527,6849
1975,4,7006,6835,7176
1975,5,6974,6800,7141
1975,6,7047,6863,7226
1975,7,6829,6663,6994
1975,8,6624,6447,6796
1975,9,6792,6623,6959
1975,10,6528,6362,6693
1975,11,6527,6363,6693
1975,12,6419,6250,6587
