Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 7.8429e+01, 6.9886e+01, 8.6960e+01
 1.9500e+03, 2.0000e+00, 5.1391e+01, 4.3238e+01, 5.9487e+01
 1.9500e+03, 3.0000e+00, 3.4923e+01, 2.6536e+01, 4.3397e+01
 1.9500e+03, 4.0000e+00, 2.6475e+01, 1.8652e+01, 3.4697e+01
 1.9500e+03, 5.0000e+00, 4.3725e+00,-3.0917e+00, 1.1797e+01
 1.9500e+03, 6.0000e+00,-2.1781e+00,-9.6231e+00, 5.6513e+00
 1.9500e+03, 7.0000e+00, 1.8224e+01, 1.1181e+01, 2.5772e+01
 1.9500e+03, 8.0000e+00, 7.0463e+01, 6.2250e+01, 7.9152e+01
 1.9500e+03, 9.0000e+00, 7.2821e+01, 6.4099e+01, 8.1179e+01
 1.9500e+03, 1.0000e+01, 7.9472e+01, 7.0865e+01, 8.7929e+01
 1.9500e+03, 1.1000e+01, 1.2211e+02, 1.1420e+02, 1.3069e+02
 1.9500e+03, 1.2000e+01, 1.0316e+02, 9.4660e+01, 1.1153e+02
 1.9510e+03, 1.0000e+00, 5.1548e+01, 4.2842e+01, 6.0062e+01
 1.9510e+03, 2.0000e+00, 3.1969e+01, 2.3982e+01, 3.9884e+01
 1.9510e+03, 3.0000e+00, 2.6573e+01, 1.8368e+01, 3.5189e+01
 1.9510e+03, 4.0000e+00, 5.2487e+00,-2.8856e+00, 1.3030e+01
 1.9510e+03, 5.0000e+00, 2.9096e+00,-4.4769e+00, 1.0669e+01
 1.9510e+03, 6.0000e+00, 1.2193e+00,-6.1982e+00, 8.6156e+00
 1.9510e+03, 7.0000e+00, 1.5654e+01, 8.4611e+00, 2.3060e+01
 1.9510e+03, 8.0000e+00, 6.3002e+01, 5.4862e+01, 7.1234e+01
 1.9510e+03, 9.0000e+00, 9.9423e+01, 9.0825e+01, 1.0799e+02
 1.9510e+03, 1.0000e+01, 9.3286e+01, 8.5167e+01, 1.0155e+02
 1.9510e+03, 1.1000e+01, 1.2285e+02, 1.1482e+02, 1.3087e+02
 1.9510e+03, 1.2000e+01, 8.7989e+01, 7.9434e+01, 9.6654e+01
