Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 102.99,  90.50, 115.54
1950.00,   2.00,  85.33,  73.60,  97.00
1950.00,   3.00,  75.59,  62.75,  88.08
1950.00,   4.00,  49.93,  37.62,  62.58
1950.00,   5.00,  41.65,  29.24,  54.59
1950.00,   6.00,  60.62,  48.38,  73.44
1950.00,   7.00,  73.66,  61.07,  86.39
1950.00,   8.00,  83.87,  71.51,  95.51
1950.00,   9.00,  44.37,  32.45,  56.65
1950.00,  10.00,  77.55,  64.25,  90.37
1950.00,  11.00, 107.72,  94.94, 120.53
1950.00,  12.00,  56.31,  44.65,  68.10
1951.00,   1.00,  67.37,  55.18,  79.37
1951.00,   2.00,  76.70,  64.67,  88.96
1951.00,   3.00, 102.57,  89.76, 115.02
1951.00,   4.00, 104.69,  92.30, 117.84
1951.00,   5.00,  38.64,  26.33,  51.17
1951.00,   6.00,  90.06,  77.44, 103.05
1951.00,   7.00, 103.72,  90.99, 116.55
1951.00,   8.00,  52.00,  39.72,  63.96
1951.00,   9.00,  66.97,  54.64,  79.45
1951.00,  10.00,  42.65,  30.04,  55.26
1951.00,  11.00,  79.47,  66.74,  92.36
1951.00,  12.00,  92.50,  80.29, 104.92
1952.00,   1.00,  64.17,  52.52,  76.36
1952.00,   2.00,  58.04,  46.16,  69.83
1952.00,   3.00,  69.30,  56.84,  81.81
1952.00,   4.00,  63.16,  50.71,  75.35
1952.00,   5.00,  98.22,  85.39, 111.52
1952.00,   6.00,  31.18,  19.99,  42.94
1952.00,   7.00,  66.95,  54.25,  79.57
1952.00,   8.00,  61.22,  49.02,  73.78
1952.00,   9.00,  66.47,  54.13,  79.01
1952.00,  10.00,  41.53,  29.20,  53.48
1952.00,  11.00,  60.58,  47.96,  73.51
1952.00,  12.00,  64.13,  52.48,  76.35
1953.00,   1.00,  62.24,  50.07,  74.70
1953.00,   2.00,  43.11,  32.06,  54.51
1953.00,   3.00,  92.14,  79.62, 104.84
1953.00,   4.00,  53.56,  41.63,  66.07
1953.00,   5.00, 120.70, 107.50, 133.73
1953.00,   6.00,  45.40,  33.48,  57.71
1953.00,   7.00,  60.42,  47.94,  72.75
1953.00,   8.00,  58.56,  46.49,  71.31
1953.00,   9.00,  81.23,  68.79,  94.18
1953.00,  10.00,  23.41,  13.06,  35.77
1953.00,  11.00,  43.30,  31.29,  55.86
1953.00,  12.00,  59.95,  47.96,  72.19
1954.00,   1.00,  61.48,  49.72,  73.46
1954.00,   2.00,  82.43,  70.27,  94.06
1954.00,   3.00,  90.01,  77.71, 102.56
1954.00,   4.00,  97.37,  85.29, 109.72
1954.00,   5.00,  41.48,  28.95,  54.25
1954.00,   6.00,  72.19,  59.54,  84.94
1954.00,   7.00,  31.40,  19.59,  43.52
1954.00,   8.00,  83.22,  71.31,  95.80
1954.00,   9.00,  77.56,  65.05,  90.09
1954.00,  10.00,  94.04,  80.89, 107.39
1954.00,  11.00,  77.78,  64.79,  90.57
1954.00,  12.00,  83.05,  70.76,  95.86
1955.00,   1.00,  43.52,  31.65,  55.37
1955.00,   2.00,  53.94,  42.22,  65.47
1955.00,   3.00,  95.71,  83.23, 108.68
1955.00,   4.00,  57.91,  45.28,  70.40
1955.00,   5.00,  57.94,  45.15,  71.12
1955.00,   6.00,  27.48,  17.10,  39.50
1955.00,   7.00,  49.99,  38.17,  62.02
1955.00,   8.00, 108.78,  96.24, 121.47
1955.00,   9.00,  48.09,  35.69,  60.57
1955.00,  10.00, 204.13, 191.12, 216.78
1955.00,  11.00,  37.07,  25.18,  49.33
1955.00,  12.00,  41.01,  30.01,  52.62
1956.00,   1.00,  43.19,  31.84,  54.62
1956.00,   2.00,  58.24,  46.61,  70.13
1956.00,   3.00,  77.59,  65.08,  90.02
1956.00,   4.00,  88.27,  75.57, 100.82
1956.00,   5.00, 101.84,  88.90, 114.56
1956.00,   6.00,  38.57,  26.84,  50.71
1956.00,   7.00,  72.66,  60.40,  85.96
1956.00,   8.00, 102.45,  90.38, 114.89
1956.00,   9.00,  66.34,  53.73,  79.21
1956.00,  10.00,  30.52,  18.89,  43.02
1956.00,  11.00,  45.17,  33.13,  57.28
1956.00,  12.00,  56.00,  43.91,  68.36
1957.00,   1.00,  70.12,  58.02,  82.24
1957.00,   2.00,  46.75,  35.32,  58.38
1957.00,   3.00,  40.02,  28.61,  51.80
1957.00,   4.00,  69.68,  57.43,  82.06
1957.00,   5.00,  71.85,  59.02,  84.74
1957.00,   6.00,  99.62,  86.67, 112.43
1957.00,   7.00,  63.00,  50.34,  75.30
1957.00,   8.00,  23.37,  14.01,  34.27
1957.00,   9.00,  82.71,  70.04,  95.68
1957.00,  10.00,  35.21,  23.43,  47.48
1957.00,  11.00,  54.02,  41.48,  66.75
1957.00,  12.00,  74.45,  62.23,  86.95
1958.00,   1.00,  62.39,  50.17,  74.77
1958.00,   2.00,  76.13,  63.77,  87.77
1958.00,   3.00,  24.58,  14.25,  35.61
1958.00,   4.00,  55.06,  43.05,  68.09
1958.00,   5.00,  44.55,  31.88,  57.14
1958.00,   6.00,  75.17,  62.69,  88.06
1958.00,   7.00,  75.14,  62.92,  87.71
1958.00,   8.00,  78.12,  65.68,  90.49
1958.00,   9.00, 101.33,  88.85, 113.62
1958.00,  10.00,  61.15,  48.32,  74.04
1958.00,  11.00,  64.69,  51.83,  77.67
1958.00,  12.00,  45.14,  34.04,  57.32
1959.00,   1.00,  87.82,  75.64, 100.56
1959.00,   2.00,  71.89,  59.96,  83.72
1959.00,   3.00,  56.27,  44.22,  68.18
1959.00,   4.00,  66.97,  54.76,  79.12
1959.00,   5.00,  55.96,  43.24,  69.00
1959.00,   6.00,  39.86,  28.40,  51.62
1959.00,   7.00,  80.85,  68.43,  93.87
1959.00,   8.00,  54.77,  42.82,  67.20
1959.00,   9.00,  52.67,  40.42,  64.90
1959.00,  10.00, 115.20, 102.26, 128.33
1959.00,  11.00,  70.61,  57.77,  83.17
1959.00,  12.00,  95.41,  83.43, 107.81
1960.00,   1.00,  69.33,  57.29,  81.61
1960.00,   2.00, 102.43,  90.47, 114.60
1960.00,   3.00,  40.87,  29.80,  53.33
1960.00,   4.00,  71.82,  59.90,  84.33
1960.00,   5.00, 100.42,  87.24, 113.40
1960.00,   6.00,  76.88,  64.30,  89.67
1960.00,   7.00,  46.65,  34.64,  59.03
1960.00,   8.00,  54.33,  42.58,  66.31
1960.00,   9.00,  18.84,   9.77,  29.84
1960.00,  10.00,  59.76,  46.88,  72.29
1960.00,  11.00,  38.82,  27.21,  51.24
1960.00,  12.00,  32.79,  22.81,  43.88
