"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,6025,5835.77,6212.26
1950,2,6253.91,6041.88,6461.26
1950,3,6624.85,6420.41,6830.51
1950,4,7368.39,7155.58,7572.75
1950,5,7548.7,7336.75,7755.78
1950,6,7460.34,7238.52,7673.96
1950,7,7236.54,7002.08,7452.24
1950,8,7036.99,6812.17,7240.28
1950,9,6907.79,6705.97,7118.41
1950,10,6589.79,6389.32,6792.96
1950,11,6666.7,6461.41,6885.95
1950,12,6759.69,6554.1,6969.08
1951,1,7056.32,6864.02,7246.38
1951,2,6612.11,6401,6808.3
1951,3,7373.97,7165.08,7581.73
1951,4,7921.92,7710.87,8128.69
1951,5,8175.29,7961.42,8389
1951,6,8184.39,7968.72,8395.16
1951,7,8161.99,7950.24,8361.43
1951,8,7828.59,7631.83,8026.71
1951,9,7485.21,7288.97,7688.47
1951,10,7198.1,6993.42,7404.2
1951,11,7072,6867.12,7273.48
1951,12,7059.99,6856.53,7260.09
1952,1,7264.09,7084.76,7455.2
1952,2,7518.25,7330.78,7707.94
1952,3,7766.03,7572.52,7959.79
1952,4,8199.12,7999.82,8408.29
1952,5,8442.33,8230.8,8651.49
1952,6,8588.32,8386.41,8795.51
1952,7,8442.54,8249.8,8648.86
1952,8,8018.55,7820.02,8208.66
1952,9,7661.48,7469.78,7857.71
1952,10,7624.3,7436.41,7811.43
1952,11,7143.38,6956.69,7327.65
1952,12,7224.45,7033,7424.69
1953,1,7151.16,6962.54,7332.12
1953,2,7243.93,7040.15,7435.72
1953,3,7232.54,7033.28,7412.39
1953,4,7725.66,7516.87,7921.41
1953,5,7770.14,7569.01,7970.51
1953,6,7882.36,7682.94,8092.61
1953,7,7720.84,7521.45,7919.55
1953,8,7569.49,7368.58,7763.15
1953,9,7418.82,7234.2,7611.13
1953,10,6977.56,6788.4,7160.59
1953,11,6713.08,6514.82,6915.61
1953,12,6743.21,6561.6,6944.15
1954,1,6436.23,6262.18,6619.64
1954,2,6576.75,6392.6,6769.07
1954,3,7191.01,6984.21,7390.56
1954,4,7540.06,7339.21,7730.54
1954,5,7979.97,7788.05,8182.1
1954,6,7838.83,7625.88,8033.61
1954,7,7723.34,7533.59,7910.73
1954,8,7342.6,7154.02,7536.36
1954,9,7110.87,6916.72,7294.56
1954,10,7027.46,6839.23,7237.57
1954,11,7010.2,6808.28,7212.22
1954,12,7400.78,7215.53,7602.98
1955,1,7173.39,6980.36,7351.7
1955,2,6999.16,6815.12,7190.96
1955,3,7711.13,7518.06,7915.23
1955,4,8075.12,7876.2,8265.51
1955,5,8361.07,8164.99,8571.93
1955,6,8145.68,7949.63,8356.01
1955,7,7765.12,7569.46,7962.66
1955,8,7436.05,7242.08,7626.95
1955,9,7159.14,6968.3,7344.23
1955,10,7141.48,6943.6,7327.85
1955,11,7377.11,7181.95,7553.39
1955,12,7087.74,6894.62,7271.71
1956,1,6772.06,6602.14,6948.95
1956,2,6786.88,6596.77,6982.11
1956,3,6847.87,6655.73,7055.98
1956,4,7428.42,7235.04,7633.41
1956,5,7739.55,7530.04,7943.47
1956,6,7998.31,7792.98,8193.21
1956,7,7730.37,7527.46,7928.74
1956,8,7431.76,7243.41,7629.96
1956,9,7517.94,7319.7,7713.5
1956,10,6840.08,6640.28,7042.03
1956,11,6986.17,6797.46,7175.8
1956,12,6700.26,6505.06,6886.49
1957,1,6659.04,6482.68,6833.26
1957,2,6488.42,6301.34,6687.38
1957,3,6540.86,6339.99,6736.26
1957,4,6798.85,6597.28,6999.26
1957,5,7104.32,6904.25,7309.95
1957,6,7004.5,6799.64,7219.36
1957,7,6918.83,6706.6,7114.42
1957,8,6930.28,6733.41,7125.36
1957,9,6627.41,6421.17,6823.46
1957,10,6563,6377.29,6755.72
1957,11,6033.34,5840.77,6233.85
1957,12,6179.65,5997.93,6366.93
1958,1,6209.33,6024.9,6390.77
1958,2,6006.27,5811.95,6195.44
1958,3,6213.54,6018.87,6402.74
1958,4,6714.41,6516.02,6917.13
1958,5,6707.06,6508.65,6901.1
1958,6,6670.64,6455.81,6878.48
1958,7,6612.78,6410.43,6814.55
1958,8,6414.45,6213.01,6620.85
1958,9,6283.43,6088.44,6477.69
1958,10,6264.53,6079.27,6447.89
1958,11,6058.89,5870.35,6249.58
1958,12,5835.07,5648.69,6031.56
1959,1,5197.6,5024.15,5378.08
1959,2,5419.35,5228.17,5613.33
1959,3,5789.9,5587.79,5984.69
1959,4,7041.6,6833.55,7240.26
1959,5,7327.93,7119.4,7537.51
1959,6,7501.87,7291.09,7689.58
1959,7,7351.77,7156.19,7553.04
1959,8,6785.33,6589.18,6988.17
1959,9,6345.7,6168.77,6531.41
1959,10,6095.26,5905.18,6285.91
1959,11,6047.18,5853.19,6236.33
1959,12,6082.82,5897.96,6263.7
1960,1,6054.94,5876.39,6229.48
1960,2,6227.13,6028.76,6426.43
1960,3,6490.62,6301.74,6674.03
1960,4,6955.15,6765.92,7157.7
1960,5,7504.06,7302.47,7713.88
1960,6,8191,7989.49,8400.67
1960,7,7688.74,7482.37,7890.16
1960,8,7387.82,7204.26,7578.63
1960,9,6870.39,6682.61,7062.4
1960,10,5882.72,5707.78,6076.94
1960,11,6022.41,5840.16,6224.58
1960,12,6060.13,5876.35,6240.51
1961,1,6039.57,5858.47,6210.87
1961,2,6211.54,6016.54,6407.51
1961,3,6092.89,5895.93,6289.07
1961,4,6405.2,6197.97,6601.77
1961,5,7264.64,7050.91,7462.4
1961,6,8003.17,7789.31,8207.6
1961,7,7733.47,7536.14,7927.3
1961,8,7377.45,7183.26,7579.5
1961,9,6998.15,6802.81,7200.56
1961,10,6677.75,6491.41,6866.78
1961,11,6278.07,6093.58,6472.82
1961,12,6317.97,6136.45,6508.83
1962,1,6131.81,5954.02,6310.92
1962,2,5953.87,5773.35,6153.51
1962,3,5896.88,5703.97,6091.87
1962,4,5565.93,5370.97,5766.62
1962,5,5811.38,5607.82,6017.73
1962,6,6276.09,6074.25,6466.46
1962,7,6253.49,6054.32,6455.68
1962,8,6267.37,6079.65,6472.44
1962,9,6256.78,6063.93,6453.17
1962,10,6187.11,5996.85,6380.71
1962,11,5905.07,5714.03,6105.74
1962,12,6117.02,5922.87,6303.41
1963,1,6090.59,5919.57,6266.47
1963,2,6142.9,5955.24,6328.78
1963,3,5742.33,5545.06,5937.77
1963,4,5595.31,5402.97,5802.49
1963,5,5440.78,5241.15,5635.42
1963,6,6123.47,5923,6315.95
1963,7,6185.34,5994.22,6369.98
1963,8,6153.01,5960.49,6347.04
1963,9,6143.83,5950.96,6325.6
1963,10,5995.57,5803.46,6178.67
1963,11,5935.66,5744.53,6128.28
1963,12,5945.62,5745.69,6132.45
1964,1,6198.11,6018.01,6381.67
