"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,105.39,94.79,116.26
1950,2,79.69,69.28,90.38
1950,3,75.23,64.44,85.42
1950,4,48.93,38.46,60.62
1950,5,42.14,31.47,53.26
1950,6,64.19,52.62,75.67
1950,7,71.56,60.33,83.57
1950,8,81.45,70.35,93.2
1950,9,58.28,47.92,68.67
1950,10,85.09,75.08,97.56
1950,11,116.27,105.16,127.35
1950,12,59.59,48.97,70.17
1951,1,70.35,59.24,80.73
1951,2,72.98,62.2,83.67
1951,3,97.01,87.01,108.6
1951,4,103.77,92.34,114.84
1951,5,40.59,30.26,51.64
1951,6,93.55,81.59,105.57
1951,7,104.22,93.2,115.15
1951,8,52.4,42.48,63.42
1951,9,79.55,69.15,90.89
1951,10,56.61,46.99,67.42
1951,11,85.91,75.52,96.93
1951,12,96.33,85.55,107.63
1952,1,67.16,56.63,77.64
1952,2,51.34,41.53,61.52
1952,3,62.97,52.4,73.8
1952,4,62.85,52.05,73.94
1952,5,100.6,90.63,112.44
1952,6,34.72,23.93,45.88
1952,7,71.88,60.36,82.76
1952,8,62.08,51.69,73.66
1952,9,76.17,65.68,88.15
1952,10,57.7,46.65,68.29
1952,11,68.54,57.27,79.17
1952,12,70.65,58.99,81.23
1953,1,64.42,53.63,74.72
1953,2,40.19,29.44,50.75
1953,3,89.2,78.84,99.52
1953,4,55.94,45.25,66.59
1953,5,118.43,107.68,130.45
1953,6,48.59,38.01,60.26
1953,7,66.12,54.44,76.69
1953,8,63.22,52.13,73.56
1953,9,94.44,83.72,105.47
1953,10,37.09,27.47,47.77
1953,11,50.39,40.01,60.57
1953,12,63,51.45,73.49
1954,1,63.01,52.72,73
1954,2,78.74,68.35,88.87
1954,3,86.6,76.51,97.3
1954,4,100.92,89.89,111.91
1954,5,49.18,37.55,59.9
1954,6,80.77,68.59,92.78
1954,7,32.8,22.62,44.5
1954,8,86.02,75.48,96.87
1954,9,91.38,79.71,102.55
1954,10,102.46,91.55,114.64
1954,11,79.46,69.02,90.85
1954,12,85.4,74.5,96.73
1955,1,42.17,32.71,54.02
1955,2,49.29,38.74,59.27
1955,3,97.68,85.99,108.47
1955,4,55.1,44.22,66.54
1955,5,56.92,46.69,68.89
1955,6,30.97,20.27,41.93
1955,7,48.13,36.63,59.67
1955,8,111.82,101.39,122.52
1955,9,59.37,48.68,70.53
1955,10,216.91,205.67,227.87
1955,11,46.28,36.3,56.99
1955,12,39.37,29.36,50.33
1956,1,44.82,34.99,55.39
1956,2,57,45.9,66.82
1956,3,75.59,64.81,86.17
1956,4,88.66,78,99.58
1956,5,103.99,92.94,115.18
1956,6,43.15,31.76,54.47
1956,7,76.27,64.57,87.21
1956,8,103.23,92.41,113.74
1956,9,79.59,68.33,90.8
1956,10,44.08,34.24,54.47
1956,11,52.35,42.29,63.2
1956,12,56.77,46.18,67.61
1957,1,70.13,59.44,80.44
1957,2,39.5,29.6,49.71
1957,3,35.32,25.62,46.14
1957,4,70.63,59.74,81.83
1957,5,78.03,66.78,89.38
1957,6,105.89,93.72,118.36
1957,7,67.85,56.66,78.61
1957,8,23.28,14.26,33.83
1957,9,94.11,83.05,105.31
1957,10,50.84,40.74,61.98
1957,11,60.31,50.43,71.64
1957,12,78.72,67.73,89.13
1958,1,65.67,54.93,75.54
1958,2,68.43,58.07,79.56
1958,3,21.36,12.9,31.68
1958,4,53.47,43.04,64.24
1958,5,51.3,40.6,62.73
1958,6,83.94,72.33,96
1958,7,77.87,66.16,88.96
1958,8,74.27,63.52,85.76
1958,9,112.96,102.39,123.57
1958,10,79.29,68.31,90.27
1958,11,71.38,60.5,82.31
1958,12,40.98,30.45,51.87
1959,1,90.98,80.11,100.73
1959,2,68.17,57.16,78.52
1959,3,54.01,43.36,64.46
1959,4,65.77,54.91,76.68
1959,5,59.74,48.71,70.54
1959,6,46.28,34.59,57.53
1959,7,80.2,68.96,92.2
1959,8,68.73,55.51,80.33
1959,9,63.87,53.03,74.94
1959,10,137.8,125.38,149.06
1959,11,82.9,71.6,93.81
1959,12,94.69,84.25,105.63
1960,1,72.83,62.33,82.82
1960,2,98.21,87.25,108.13
1960,3,35.7,25.73,45.78
1960,4,72.83,61.31,84.04
1960,5,104.98,94.04,115.97
1960,6,82.55,70.31,94.27
1960,7,46.64,36.55,58.06
1960,8,53.38,43.37,64.79
1960,9,32.59,22.56,43.48
1960,10,73.44,63.18,84.25
1960,11,45.72,35.76,56.5
1960,12,32.68,23.31,43.2
1961,1,31.78,22.15,42.14
1961,2,68.26,57.58,78.9
1961,3,53.87,43.48,64.37
1961,4,98.55,86.86,109.55
1961,5,75.54,64.67,87.12
1961,6,101.72,90.2,113.68
1961,7,77.06,64.87,88.4
1961,8,66.22,55.24,76.93
1961,9,39.33,29.63,50.12
1961,10,56.65,46.01,67.58
1961,11,67.96,57.25,79.83
1961,12,55.38,44.28,66.23
1962,1,73.85,63.27,84.3
1962,2,62.12,50.85,73.06
1962,3,21.88,13.37,31.67
1962,4,64.49,52.81,75.63
1962,5,49.12,38.48,60.42
1962,6,58.34,46.83,70.32
1962,7,69.35,58.34,81.21
1962,8,61.81,51.1,72.32
1962,9,100.32,89.61,112.01
1962,10,96.97,85.95,107.98
1962,11,48.14,38.22,59.14
1962,12,60.73,50.72,71.57
1963,1,46.99,36.85,57.63
1963,2,30.6,21.19,40.33
1963,3,57.38,46.63,68.1
1963,4,63.51,52.23,74.81
1963,5,76.46,65.15,87.41
1963,6,27.45,16.97,38.5
1963,7,55.16,44.1,65.85
1963,8,89.93,79.08,101.32
1963,9,47.09,36.62,58.2
1963,10,24.49,16.27,34.14
1963,11,114.93,103.77,126
1963,12,54.84,44.72,66.62
1964,1,65.19,53.97,74.72
1964,2,27.49,18.44,36.96
1964,3,74.46,63.84,85.05
1964,4,74.35,63.65,85.71
1964,5,66.45,55.29,77.35
1964,6,37.73,26.83,49.77
1964,7,72.35,61.51,83.77
1964,8,86.28,76.06,97.11
1964,9,27.87,18.69,38.46
1964,10,45.42,35.64,55.9
1964,11,52.24,42.39,62.96
1964,12,68.47,57.85,79
1965,1,77.76,66.78,88.02
1965,2,86.82,76.73,98.58
1965,3,40.3,30.31,51.25
1965,4,57.08,46.87,68.1
1965,5,28.97,18.65,39.52
1965,6,46.88,36.21,58.91
1965,7,57.63,46.21,69.75
1965,8,84.97,74.47,95.9
1965,9,86.82,75.58,97.55
1965,10,106.54,94.6,116.66
1965,11,92.29,82.01,103.95
1965,12,53.31,43,63.66
1966,1,78.56,67.46,88.79
1966,2,54.14,43.71,64.82
1966,3,59.54,48.86,70.27
1966,4,36.28,25.85,47.08
1966,5,43.89,33.72,54.88
1966,6,59.04,47.17,70.95
1966,7,40.85,30.62,52.13
1966,8,69.56,58.63,79.49
1966,9,85.58,74.98,97.41
1966,10,44.28,34.44,54.67
1966,11,110.36,99.28,121.86
1966,12,76.16,65.84,86.98
1967,1,52.71,42.19,63.12
1967,2,40.55,30.03,50.63
1967,3,23.89,15.56,33.54
1967,4,65.1,53.97,75.93
1967,5,71.29,60.21,82.24
1967,6,85.82,73.1,97.45
1967,7,73.05,59.09,85.09
1967,8,78.18,66.3,90
1967,9,106.39,95.72,118.01
1967,10,109.66,98.95,120.4
1967,11,88.51,76.79,99.14
1967,12,54.78,44.29,65.85
1968,1,63.83,53.64,75.31
1968,2,36.9,26.67,47.04
1968,3,51.48,41.46,62.68
1968,4,35.64,25.02,46.45
1968,5,94.27,83.2,106.01
1968,6,97.69,85.81,109.75
1968,7,39.55,27.89,50.44
1968,8,71.36,61.29,82.61
1968,9,94.86,83.6,106.54
1968,10,88.49,77.66,98.74
1968,11,114.73,103.91,127.06
1968,12,84.86,73.07,95.19
1969,1,71.8,61.77,82.43
1969,2,19.84,11.37,29.34
1969,3,35.87,25.88,46.22
1969,4,94.98,83.84,105.37
1969,5,90,77.94,100.68
1969,6,103.55,91.76,114.81
1969,7,67.16,56.2,79.14
1969,8,41.59,31.43,52.19
1969,9,39.95,30.24,51.03
1969,10,72.99,62.17,83.88
1969,11,95.28,83.93,106.65
1969,12,77.22,66.55,88.56
1970,1,45.67,35.83,57.01
1970,2,52,41.48,62.27
1970,3,44.41,34.49,55.46
1970,4,61.48,50.54,73.08
1970,5,71.98,60.94,82.99
1970,6,72.99,62.06,85.4
1970,7,98.23,86.3,109.13
1970,8,57.3,46.77,68.02
1970,9,91.17,79.7,101.92
1970,10,103.31,93.19,113.89
1970,11,82.36,71.5,93.04
1970,12,87.6,76.66,97.74
1971,1,54.73,44.35,64.17
1971,2,107.42,97.04,117.56
1971,3,61.24,50.28,71.95
1971,4,33.6,23.54,44.27
1971,5,42.33,31.93,53.29
1971,6,75.3,63.41,88.32
1971,7,87.67,75.55,98.72
1971,8,74.47,63.5,86.75
1971,9,69.08,57.91,79.78
1971,10,55.04,44.11,66.35
1971,11,60.82,50.01,72.25
1971,12,81.82,70.82,93.13
1972,1,56.05,45.51,66.26
1972,2,83.95,73.58,94.43
1972,3,74.68,64.52,86.03
1972,4,55.3,44.95,66.98
1972,5,90.24,78.5,101.79
1972,6,150.69,135.28,166.07
1972,7,77.29,66.23,88.39
1972,8,78.69,67.8,89.96
1972,9,77.31,67.1,88.63
1972,10,92.44,81.26,102.76
1972,11,101.53,90.44,112.87
1972,12,106.1,94.56,116.74
1973,1,52.41,41.6,62.82
1973,2,46.37,36.77,57.2
1973,3,84.46,74.2,95.74
1973,4,103.8,92.69,114.82
1973,5,90.8,79.89,102.64
1973,6,73.75,61.98,84.83
1973,7,49.63,38.82,60.93
1973,8,39.88,29.49,50.02
1973,9,76.01,64.22,87.06
1973,10,98.6,88.6,109.77
1973,11,88.21,77.8,99.52
1973,12,107.91,96.83,119.05
1974,1,68.69,58.16,79.21
1974,2,44.98,35.07,55.49
1974,3,77.35,65.7,87.47
1974,4,66.79,55.63,78.42
1974,5,107.65,96.33,118.81
1974,6,84.84,73.01,96.7
1974,7,73.62,62.22,85.38
1974,8,58.26,47.59,69
1974,9,82.5,71.68,93.25
1974,10,53.15,43.09,63.52
1974,11,90.24,78.99,101.41
1974,12,70.18,59.91,81.14
1975,1,63.88,53.06,74.2
1975,2,69.57,58.41,79.69
1975,3,77.01,66.44,89.37
1975,4,49.63,38.8,60.97
1975,5,59.3,48.18,71.41
1975,6,92.5,81.63,105.09
1975,7,73.11,60.17,84.55
1975,8,78.14,67.31,90.15
1975,9,124.08,112.34,135.31
1975,10,61.79,51.4,72.03
1975,11,65.03,54.34,76.01
1975,12,91.08,80.05,101.96
1976,1,84.47,73,94.55
1976,2,62.22,50.83,72.87
1976,3,104.6,94.22,115.8
1976,4,79.09,67.69,91.02
1976,5,106.89,95.78,117.78
1976,6,110.55,98.79,122.17
1976,7,91.95,81.38,104.14
1976,8,64.13,52.05,74.81
1976,9,84.75,73.9,95.73
1976,10,112.12,99.6,123.14
1976,11,35.42,26.05,45.73
1976,12,49.78,39.64,60.6
1977,1,70.6,60.04,82.43
1977,2,36.8,26.13,46.75
1977,3,78.31,67.14,89.15
1977,4,65.69,55.24,77.19
1977,5,30.59,20.25,41.34
1977,6,64.82,53.51,77.31
1977,7,73.61,61.08,85.28
1977,8,128.1,117.32,139.08
1977,9,157.21,145.89,168.98
1977,10,95.22,84.44,106.12
1977,11,116.44,105.04,128.71
1977,12,120.71,110.7,132.34
1978,1,131.78,120.37,142.17
1978,2,21.35,12.63,31.57
1978,3,53.21,43.4,63.97
1978,4,49.04,38.94,60.57
1978,5,56.93,46.12,68.58
1978,6,52.44,40.51,63.69
1978,7,47.12,36.24,59.63
1978,8,92.22,76.68,110.34
1978,9,118.23,104.89,133.39
1978,10,79.49,69.24,90.37
1978,11,56.13,43.58,70.71
1978,12,81.64,69.76,92.1
1979,1,120.2,110.51,131.47
1979,2,42.03,32.53,52.47
1979,3,48.74,37.7,59.21
1979,4,86.53,75.79,98.41
1979,5,75.43,64.49,86.74
1979,6,51.28,40.02,62.95
1979,7,45.92,34.93,58.66
1979,8,91.76,80.69,102.97
1979,9,112.64,101.93,125.36
1979,10,109.82,99.03,120.85
1979,11,78.87,66.33,89.95
1979,12,65.56,55.06,76.32
1980,1,42.29,32.07,52.8
1980,2,23.9,15.2,34.43
1980,3,90.42,77.87,100.73
1980,4,93.44,81.6,103.88
1980,5,32.56,22.36,43.29
1980,6,97.89,86.42,109.76
1980,7,92.33,80.07,103.32
1980,8,50.49,40.01,61.39
1980,9,83.3,71.4,94.09
1980,10,109.54,98.26,120.08
1980,11,63.63,52.5,74.03
1980,12,62.72,51.29,73.21
1981,1,27.37,18.06,36.9
1981,2,88.64,76.5,99.43
1981,3,26.36,17.59,35.9
1981,4,60.3,48.87,71.38
1981,5,62.05,51.13,73.17
1981,6,81.34,68.86,92.84
1981,7,84.41,72.52,95.42
1981,8,86.47,74.94,96.93
1981,9,141.03,130.16,151.75
1981,10,118.42,106.88,128.91
1981,11,52.83,42.74,63.97
1981,12,43.85,33.53,54.6
1982,1,74.33,63.39,84.77
1982,2,37.11,26.47,47.23
1982,3,55.21,43.99,65.8
1982,4,45.93,34.47,56.52
1982,5,66.6,54.87,77.25
1982,6,111.06,97.6,123.08
1982,7,47.67,36,58.97
1982,8,62.56,51.71,72.89
1982,9,88.49,75.65,99.5
1982,10,52.51,42.01,62.82
1982,11,114.55,103.16,124.88
1982,12,69.81,58.59,80.18
1983,1,43.39,32.9,53.86
1983,2,36.65,26.36,46.24
1983,3,56.35,45.74,66.78
1983,4,96.8,84.95,108.26
1983,5,96.72,85.62,107.68
1983,6,48.3,36.92,59.61
1983,7,45.34,34.47,58.64
1983,8,83.19,71.4,94.34
1983,9,58.88,47.7,69.78
1983,10,98.83,88.15,109.61
1983,11,97.68,86.38,108.68
1983,12,113.94,101.69,124.82
1984,1,43.44,32.45,53.83
1984,2,70.03,58.88,80.23
1984,3,43.55,33.04,54.19
1984,4,84.94,74.02,95.74
1984,5,113.59,100.07,124.84
1984,6,67.48,55.91,79.25
1984,7,59.63,47.98,71.07
1984,8,104.19,91.27,116.1
1984,9,85.41,74.78,97.05
1984,10,51.79,41.85,63.56
1984,11,64.71,53.35,75.08
1984,12,81.9,68.24,93.93
1985,1,57.74,44.86,72.3
1985,2,68.73,54.23,82.95
1985,3,63.54,49.37,79.04
1985,4,42.12,29.51,54.46
1985,5,81.26,65.93,95.93
1985,6,52.64,38.83,67.01
1985,7,48.54,36.1,62.1
1985,8,80.28,66.52,94.49
1985,9,89.74,75.05,105.46
1985,10,66.07,50.79,80.96
1985,11,144.7,130.37,158.99
1985,12,69.9,56.75,83.45
1986,1,46.68,32.58,61.01
1986,2,46.29,33.24,59.91
1986,3,53.39,39.02,67.7
1986,4,64,51.31,77.89
1986,5,67.38,53.46,81.49
1986,6,104.49,89.73,119.97
1986,7,77.92,64.11,92.65
1986,8,106.18,91.67,119.97
1986,9,160.07,144.14,175.83
1986,10,67.24,53,82.54
1986,11,57.98,44.78,72.05
1986,12,86.58,73.23,101.4
1987,1,55.45,41.85,69.42
1987,2,24.3,13.19,36.47
1987,3,51.78,38.53,66.04
1987,4,72.27,58.96,87.15
1987,5,32.09,19.87,45.17
1987,6,73.88,58.72,88.04
1987,7,61.24,48.16,75.18
1987,8,68.31,54.47,82.06
1987,9,97.6,82.5,113.08
1987,10,48.46,33.89,62.32
1987,11,92.62,78.34,107
1987,12,58.2,45.75,71
1988,1,33.01,21.15,46.21
1988,2,68.12,53.74,81.86
1988,3,34.77,21.03,47.46
1988,4,58.4,45.19,72.39
1988,5,43.34,29.41,57.28
1988,6,28.78,16.35,42.52
1988,7,66.54,53.12,79.74
1988,8,75.64,61.73,89.18
1988,9,51.56,36.84,65.83
1988,10,87.18,71.93,102.21
1988,11,68.44,54.35,82.84
1988,12,49.34,36.94,62.43
1989,1,34.56,22.2,48.1
1989,2,33.99,21.45,46.95
1989,3,55.93,42.35,70.14
1989,4,44.82,32.89,58.06
1989,5,107.9,93.82,122.3
1989,6,112.11,97.34,127.27
