"Year","Month","Median","2.5 Percentile","97.5 Percentile"
1950,1,234.8,225.58,245.69
1950,2,119.92,109.43,130.71
1950,3,275.72,263.25,287.68
1950,4,384.66,371.78,398.85
1950,5,108.95,97.1,122.26
1950,6,79.67,71.5,88.85
1950,7,51.98,45.49,59.33
1950,8,35.99,29.63,42.39
1950,9,58.12,51.92,65.04
1950,10,85.7,77.87,95.21
1950,11,163.35,153.53,174.24
1950,12,223.19,212.13,233.37
1951,1,250.35,240.36,260.76
1951,2,228.87,218.28,239.48
1951,3,340.31,327.68,351.77
1951,4,404.68,391.97,418.44
1951,5,121.86,109.57,135.37
1951,6,72.55,64.79,81.63
1951,7,99.58,93.37,107.23
1951,8,43.66,37.24,50.28
1951,9,51.98,45.8,59.28
1951,10,70.33,62.23,79.52
1951,11,141.75,132.21,153.1
1951,12,156.32,144.88,166.9
1952,1,242.42,232.89,252.73
1952,2,194.68,184.06,205.68
1952,3,282.35,269.65,294.32
1952,4,301.96,288.86,315.74
1952,5,142.62,130.76,156.48
1952,6,78.89,70.9,88.09
1952,7,58.18,51.95,65.2
1952,8,35.85,29.26,42.21
1952,9,42.46,36.65,49.65
1952,10,73.84,65.72,83.05
1952,11,80.84,71.12,91.94
1952,12,149.12,138.15,159.62
1953,1,140.11,130.38,150.45
1953,2,135.92,125.46,146.78
1953,3,242.3,229.89,254.17
1953,4,152.09,139.2,166.27
1953,5,214.66,202.69,228.26
1953,6,72.78,64.98,81.9
1953,7,49.22,42.99,56.34
1953,8,51.83,45.17,58.39
1953,9,47.51,41.01,54.32
1953,10,59.82,51.78,68.81
1953,11,65.47,56.14,76.32
1953,12,115.73,104.63,126.53
1954,1,94.23,84.9,104.57
1954,2,255.37,245.15,266.15
1954,3,271.64,259.19,283.63
1954,4,348.12,335.34,362.38
1954,5,196.54,184.49,210.03
1954,6,81,73.14,90.43
1954,7,44.4,38.32,51.73
1954,8,32.72,26.46,39.21
1954,9,57.28,51.32,64.43
1954,10,119.9,112.12,129.15
1954,11,137.12,127.25,148
1954,12,183.65,172.24,194.18
1955,1,169.91,160.29,180.56
1955,2,103.34,92.97,114.31
1955,3,403.22,390.48,414.95
1955,4,311.38,298.14,325.65
1955,5,74.12,62.46,87.95
1955,6,59.53,51.78,68.45
1955,7,35.71,29.78,42.99
1955,8,30.3,24.28,37.27
1955,9,32.42,26.47,39.62
1955,10,164.05,156.23,173.79
1955,11,192.26,182.3,203.31
1955,12,131.1,119.91,141.56
1956,1,90.54,81.12,101.19
1956,2,108.86,98.41,119.72
1956,3,315.01,301.87,327.19
1956,4,449.11,435.95,463.36
1956,5,296.5,284.32,310.38
1956,6,124.14,116.11,133.34
1956,7,61.61,55.16,68.98
1956,8,47.08,40.9,53.95
1956,9,83.5,76.88,90.45
1956,10,71.37,63.38,80.56
1956,11,78.1,68.56,88.61
1956,12,159.58,148.8,170.03
1957,1,176.61,167.03,186.84
1957,2,136.93,126.75,147.6
1957,3,201.84,189.55,213.83
1957,4,189.63,176.94,203.56
1957,5,134.23,122.2,147.7
1957,6,79.62,71.55,89.12
1957,7,71.56,65.16,78.97
1957,8,40.05,34.04,46.53
1957,9,45.34,39.38,52.34
1957,10,54.98,47.18,63.98
1957,11,78.22,68.61,89.13
1957,12,169.3,158.06,179.56
1958,1,101.23,91.41,112.11
1958,2,70,59.36,80.94
1958,3,231.48,219.05,243.11
1958,4,266.82,253.65,280.46
1958,5,127.82,115.67,141.28
1958,6,109.13,100.88,118.38
1958,7,67.17,60.57,74.33
1958,8,47.41,41.02,53.8
1958,9,92.38,86.07,99.39
1958,10,109.11,101.3,118.09
1958,11,129.98,120.33,141.01
1958,12,114.83,104.04,125.62
1959,1,167.44,157.55,178.07
1959,2,153.76,143.13,164.26
1959,3,272.28,259.5,283.81
1959,4,435.43,422.65,449.4
1959,5,112.19,100.34,126.34
1959,6,49.46,41.61,58.39
1959,7,50.62,44.68,57.29
1959,8,34.45,28.03,41.04
