Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,74.98,61.84,87.85,90.81863714
1950,2,47.21,35.07,58.94,52.98507666
1950,3,34.29,21.92,46.73,40.27356048
1950,4,13.08,4.96,21.08,19.75787053
1950,5,-1.31,-7.62,5.32,-1.825775128
1950,6,-4.11,-9.72,1.43,-4.77592845
1950,7,3.32,-6.71,13.69,3.102589438
1950,8,35.1,22.51,48.41,37.22686542
1950,9,44.01,30,57.03,46.16754685
1950,10,43.9,29.65,58,48.27369676
1950,11,113.7,100.19,126.8,120.9416014
1950,12,103.35,89.16,118,114.0164566
1951,1,53.03,40.98,65.12,58.04492334
1951,2,25.81,14.5,37.11,32.67103918
1951,3,25.09,13.31,37.59,31.92463373
1951,4,-0.08,-7.77,7.68,2.00890971
1951,5,-2.05,-8.54,4.27,-3.815059625
1951,6,-2.16,-7.37,3.31,-3.967444634
1951,7,-2.31,-11.55,6.65,1.968534923
1951,8,24.24,12.68,36.31,30.10109029
1951,9,67.99,56.18,80.65,71.24497445
1951,10,53.59,40.32,67.18,63.45761499
1951,11,106.11,92.65,119.36,123.6197785
1951,12,97.55,83.85,110.61,95.81378194
1952,1,44.6,32.35,56.95,57.05396934
1952,2,33.18,21.44,43.84,38.31642249
1952,3,28.64,17.21,40.84,31.97488927
1952,4,-0.43,-8.23,7.8,6.239369676
1952,5,-1.66,-8.31,4.76,-1.78274276
1952,6,-3.57,-9,1.98,-4.530988075
1952,7,7.95,-1.44,17.77,9.223577513
1952,8,35.84,24.13,47.78,34.47216354
1952,9,69.44,57.13,81.43,71.84752981
1952,10,126.55,113.64,139.94,132.1674957
1952,11,88.05,75.2,101.2,84.28429302
1952,12,83.82,70.94,97.15,83.00221465
1953,1,75.16,63.08,87.33,72.22804089
1953,2,47.68,36.4,58.78,46.21354344
1953,3,28.73,16.81,40.02,29.78451448
1953,4,14.75,6.41,22.02,15.68974446
1953,5,0.56,-5.85,6.66,0.21592845
1953,6,-3.88,-9.31,1.55,0.321601363
1953,7,16.28,7.2,25.56,24.63804089
1953,8,33.29,21.64,45.64,37.94942078
1953,9,89.78,77.92,101.41,92.23591141
1953,10,61.83,49.29,75.19,64.55049404
1953,11,102.29,89.66,114.63,88.56432709
1953,12,126.82,114.31,140.17,121.9294378
1954,1,99.35,86.96,111.35,103.5100681
1954,2,33.14,21.59,44.52,30.99889267
1954,3,56.6,45.36,68.38,57.15945486
1954,4,12.08,4.32,20.02,13.06698467
1954,5,0.79,-5.36,7.12,6.712776831
1954,6,-2.45,-7.83,3.01,-1.767955707
1954,7,7.22,-2.08,16.85,20.3470017
1954,8,43.65,31.91,55.32,54.53892675
1954,9,54.45,42.29,66.34,55.6970017
1954,10,61.29,48.13,74.55,70.90798978
1954,11,82.94,70.33,95.78,85.87206133
1954,12,105.62,92.92,118.48,110.8698296
1955,1,78.74,66.33,90.71,98.02816014
1955,2,42.37,31.19,53.98,44.68279387
1955,3,43.44,32.04,54.94,48.84647359
