Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,88.38,81.28,95.48,89.61277683
1950,2,62.54,55.51,69.64,60.72586031
1950,3,68.84,61.61,76.36,67.46141397
1950,4,75.36,68.08,82.72,82.53321976
1950,5,37.61,30.18,45.06,34.31192504
1950,6,82.98,75.14,90.88,82.87601363
1950,7,90.82,83.48,98.3,93.2786201
1950,8,63.98,56.31,71.98,76.13195911
1950,9,68.06,60.48,75.74,66.46577513
1950,10,39.58,31.74,47.69,45.03231687
1950,11,78.16,70.54,86.01,80.59827939
1950,12,63.76,56.68,71.1,64.42182283
1951,1,57.3,50.51,64.28,58.24827939
1951,2,59,51.92,66.18,55.2672402
1951,3,79.88,72.68,86.79,76.700477
1951,4,94,86.69,101.61,98.80061329
1951,5,48.86,41.09,56.82,45.49057922
1951,6,66.09,58.2,73.77,65.16914821
1951,7,103.15,95.55,110.59,109.6064736
1951,8,76.7,69.23,84.41,84.05035775
1951,9,86.94,79.15,94.6,85.61492334
1951,10,118.23,110.4,126.26,124.8194719
1951,11,78.98,71.56,86.53,80.61039182
1951,12,75.35,67.62,82.38,82.849523
1952,1,66.41,59.28,73.57,66.69948893
1952,2,31.4,24.83,38.23,28.12010221
1952,3,66.88,59.56,73.71,64.7
1952,4,62.74,55.15,70.36,66.38413969
1952,5,74.9,67.41,82.53,73.77110733
1952,6,63.19,55.7,70.71,64.79683135
1952,7,128.41,121.07,136.23,135.3229472
1952,8,78.39,70.97,86.25,87.69241908
1952,9,50.3,42.75,57.82,51.75400341
1952,10,12.32,6.16,19.76,16.17562181
1952,11,83.54,75.61,91.12,85.96388416
1952,12,50.95,43.8,57.85,54.66565588
1953,1,52.51,45.54,59.43,55.45954003
1953,2,65.7,58.46,72.57,68.60747871
1953,3,65.53,58.13,72.43,63.32045997
1953,4,66.2,58.58,73.81,75.89458262
1953,5,78.5,70.56,85.97,80.54214651
1953,6,77.67,69.72,85.56,75.45693356
1953,7,72.88,65.53,80.48,78.07741056
1953,8,55.6,47.89,63.49,63.18006814
1953,9,72.54,64.69,80.26,74.1374276
1953,10,27.8,20.25,35.51,32.26223169
1953,11,41.8,34.46,48.95,46.25897785
1953,12,59.09,51.91,66.22,66.7162862
1954,1,41.97,34.98,48.72,44.71321976
1954,2,56.23,49.55,63.41,52.80925043
1954,3,65.8,58.38,72.97,65.59764906
1954,4,100.37,93.04,107.81,110.7245656
1954,5,58.58,50.81,66.19,57.51286201
1954,6,127.5,119.79,135.44,131.5994549
1954,7,60.34,52.51,67.79,66.96265758
1954,8,52.04,44.32,59.5,62.39494037
1954,9,115.3,107.37,123.45,116.8829813
1954,10,142.32,133.88,150.47,146.0681772
