Year,Month,Median,2.5 Percentile,97.5 Percentile,NOAA.GLERL.GLM.HMD
1950,1,12.09,6.08,18.93,24.85529101
1950,2,8.51,3.58,14.76,23.16744965
1950,3,11.81,5.88,18.99,25.79517778
1950,4,47.4,38.5,56.36,68.68484287
1950,5,165.32,155.48,175.43,249.1479651
1950,6,79.95,71.74,88.31,88.43802972
1950,7,50.39,42.94,58.25,70.64386027
1950,8,34.23,26.86,42.25,48.28525564
1950,9,23.55,16.2,31.17,34.9717944
1950,10,35.79,28.23,43.71,40.88752136
1950,11,26.84,19.56,34.76,37.21808916
1950,12,15.61,9.1,22.82,41.19809832
1951,1,12.38,6.07,19.28,37.57230811
1951,2,15.46,8.43,22.88,35.24547508
1951,3,19.31,11.98,26.69,45.95658095
1951,4,101.71,92.98,110.52,126.9136019
1951,5,104.02,95.32,112.73,124.1201879
1951,6,60.58,52.54,69.01,71.7355732
1951,7,37.47,30.2,44.81,48.98307508
1951,8,28.65,21.29,36.04,36.6024076
1951,9,42.49,35.04,50,58.18392789
1951,10,43.49,35.51,51.41,67.97198499
1951,11,40.54,33.2,48.32,64.96069769
1951,12,29.24,21.6,36.99,50.74997086
1952,1,18.25,10.93,25.43,43.27198246
1952,2,13.76,7.42,20.79,40.50038412
1952,3,14.7,8.13,21.91,45.5256228
1952,4,81.03,71.94,89.79,106.9337335
1952,5,63.72,54.69,72.84,60.47670607
1952,6,49.23,41.44,57.7,53.2518665
1952,7,48.81,40.98,56.71,76.90270363
1952,8,32.43,25.15,40.42,51.74205544
1952,9,19.73,12.92,27.15,37.00245749
1952,10,12.03,6.33,18.08,31.63643868
1952,11,14.19,7.99,20.71,31.76478636
1952,12,15.33,9.02,22.38,33.35929257
1953,1,12.05,5.91,19,31.62143181
1953,2,9.51,4.33,15.7,27.96783786
1953,3,24.39,17.15,31.9,45.24016604
1953,4,68.19,59.28,77.22,74.34620024
1953,5,95.84,86.78,104.41,105.4604504
1953,6,80.55,72.17,88.85,96.72358977
1953,7,44.49,36.72,52.65,73.74604122
1953,8,35.18,27.98,42.83,58.17674017
1953,9,18.61,11.87,25.31,35.96723605
1953,10,17.05,10.58,23.81,32.64874991
1953,11,16.58,10.27,23.64,32.86220317
1953,12,21.05,13.9,28.61,38.0557903
1954,1,13.08,6.73,20.07,36.2285408
1954,2,14.5,7.89,21.57,36.10236102
1954,3,19.23,11.89,26.66,41.90766227
